Date,KBANK
2011-09-15,120.25
2011-09-16,122.25
2011-09-19,120.5
2011-09-20,120.5
2011-09-21,122.75
2011-09-22,119.0
2011-09-23,116.0
2011-09-26,112.0
2011-09-27,116.0
2011-09-28,116.5
2011-09-29,116.0
2011-09-30,117.0
2011-10-03,111.0
2011-10-04,108.75
2011-10-05,105.25
2011-10-06,111.0
2011-10-07,114.25
2011-10-10,114.75
2011-10-11,118.25
2011-10-12,118.5
2011-10-13,117.5
2011-10-14,117.0
2011-10-17,119.75
2011-10-18,117.0
2011-10-19,115.75
2011-10-20,111.75
2011-10-21,112.5
2011-10-25,119.0
2011-10-26,119.0
2011-10-27,119.5
2011-10-28,122.0
2011-10-31,123.75
2011-11-01,122.25
2011-11-02,123.25
2011-11-03,123.0
2011-11-04,123.75
2011-11-07,123.5
2011-11-08,123.75
2011-11-09,122.25
2011-11-10,118.75
2011-11-11,118.0
2011-11-14,119.25
2011-11-15,118.5
2011-11-16,117.0
2011-11-17,114.75
2011-11-18,112.0
2011-11-21,109.5
2011-11-22,111.0
2011-11-23,111.5
2011-11-24,112.75
2011-11-25,111.25
2011-11-28,113.5
2011-11-29,115.0
2011-11-30,116.0
2011-12-01,119.75
2011-12-02,121.0
2011-12-06,122.0
2011-12-07,124.0
2011-12-08,123.0
2011-12-09,120.5
2011-12-13,120.5
2011-12-14,121.25
2011-12-15,118.75
2011-12-16,120.25
2011-12-19,121.75
2011-12-20,123.25
2011-12-21,125.0
2011-12-22,124.0
2011-12-23,122.75
2011-12-26,122.0
2011-12-27,121.5
2011-12-28,121.5
2011-12-29,121.25
2011-12-30,122.0
2012-01-04,121.0
2012-01-05,116.25
2012-01-06,114.5
2012-01-09,115.5
2012-01-10,116.25
2012-01-11,115.25
2012-01-12,115.75
2012-01-13,116.5
2012-01-16,116.0
2012-01-17,118.75
2012-01-18,119.75
2012-01-19,120.75
2012-01-20,122.5
2012-01-23,123.75
2012-01-24,124.25
2012-01-25,124.25
2012-01-26,125.5
2012-01-27,126.5
2012-01-30,126.5
2012-01-31,128.0
2012-02-01,128.5
2012-02-02,130.0
2012-02-03,129.0
2012-02-06,129.75
2012-02-07,130.5
2012-02-08,130.75
2012-02-09,130.75
2012-02-10,132.0
2012-02-13,133.75
2012-02-14,137.25
2012-02-15,141.75
2012-02-16,142.75
2012-02-17,143.25
2012-02-20,139.75
2012-02-21,140.5
2012-02-22,142.25
2012-02-23,144.25
2012-02-24,146.0
2012-02-27,145.25
2012-02-28,144.5
2012-02-29,145.75
2012-03-01,146.75
2012-03-02,147.0
2012-03-05,147.25
2012-03-06,144.5
2012-03-08,146.25
2012-03-09,145.5
2012-03-12,143.5
2012-03-13,145.25
2012-03-14,150.5
2012-03-15,153.75
2012-03-16,155.5
2012-03-19,157.75
2012-03-20,158.5
2012-03-21,158.25
2012-03-22,156.0
2012-03-23,153.0
2012-03-26,150.5
2012-03-27,153.5
2012-03-28,154.0
