Date,ROBINS
2014-11-07,50.65
2014-11-10,49.15
2014-11-11,47.85
2014-11-12,47.56666666666667
2014-11-13,47.28333333333333
2014-11-14,47.0
2014-11-17,47.35
2014-11-18,47.733333333333334
2014-11-19,48.11666666666667
2014-11-20,48.5
2014-11-21,48.7
2014-11-24,48.9
2014-11-25,49.1
2014-11-26,49.3
2014-11-27,49.5
2014-11-28,49.1
2014-12-01,48.85
2014-12-02,49.1
2014-12-03,49.0
2014-12-04,48.5
2014-12-08,47.1
2014-12-09,44.9
2014-12-11,43.25
2014-12-12,43.0
2014-12-15,42.9
2014-12-16,42.85
2014-12-17,43.5
2014-12-18,44.35
2014-12-19,44.4
2014-12-22,44.7
2014-12-23,46.15
2014-12-24,47.3
2014-12-25,47.2
2014-12-26,46.85
2014-12-29,45.7
2014-12-30,45.0
2015-01-05,44.75
2015-01-06,44.5
2015-01-07,45.25
2015-01-08,46.5
2015-01-09,46.75
2015-01-12,47.0
2015-01-13,46.75
2015-01-14,47.0
2015-01-15,47.75
2015-01-16,47.6
2015-01-19,46.8
2015-01-20,45.8
2015-01-21,45.65
2015-01-22,46.25
2015-01-23,46.4
2015-01-26,45.4
2015-01-27,44.65
2015-01-28,44.9
2015-01-29,44.8
2015-01-30,44.9
2015-02-02,44.75
2015-02-03,45.6
2015-02-04,46.0
2015-02-05,45.8
2015-02-06,45.5
2015-02-09,45.25
2015-02-10,45.5
2015-02-11,45.9
2015-02-12,45.9
2015-02-13,45.4
2015-02-16,45.0
2015-02-17,44.75
2015-02-18,45.0
2015-02-19,45.15
2015-02-20,44.9
2015-02-23,46.9
2015-02-24,48.4
2015-02-25,48.65
2015-02-26,50.0
2015-02-27,51.1
2015-03-02,50.1
2015-03-03,48.9
2015-03-05,49.3
2015-03-06,49.5
2015-03-09,49.25
2015-03-10,48.0
2015-03-11,47.0
2015-03-12,47.1
2015-03-13,47.25
2015-03-16,47.0
2015-03-17,46.5
2015-03-18,46.65
2015-03-19,46.4
2015-03-20,46.3
2015-03-23,46.65
2015-03-24,46.15
2015-03-25,46.25
2015-03-26,46.3
2015-03-27,45.8
2015-03-30,45.65
2015-03-31,46.5
2015-04-01,47.2
2015-04-02,48.0
2015-04-03,48.4
2015-04-07,47.9
2015-04-08,47.5
2015-04-09,47.25
2015-04-10,47.35
2015-04-16,47.85
2015-04-17,47.7
2015-04-20,47.2
2015-04-21,47.75
2015-04-22,48.0
2015-04-23,47.65
2015-04-24,47.9
2015-04-27,48.25
2015-04-28,48.1
2015-04-29,47.5
2015-04-30,47.15
2015-05-04,46.8
2015-05-06,46.0
2015-05-07,44.65
2015-05-08,44.15
2015-05-11,44.0
2015-05-12,43.9
2015-05-13,44.3
2015-05-14,44.0
2015-05-15,44.9
2015-05-18,46.5
2015-05-19,47.25
2015-05-20,46.9
2015-05-21,46.5
2015-05-22,45.7
2015-05-25,45.65
2015-05-26,45.1
2015-05-27,44.9
2015-05-28,45.0
2015-05-29,44.9
2015-06-02,45.6
2015-06-03,46.35
2015-06-04,46.1
2015-06-05,46.0
2015-06-08,46.2
2015-06-09,45.6
2015-06-10,45.75
2015-06-11,46.85
2015-06-12,47.3
2015-06-15,46.35
2015-06-16,46.25
2015-06-17,47.25
2015-06-18,47.1
2015-06-19,46.0
2015-06-22,45.25
2015-06-23,45.35
2015-06-24,45.0
2015-06-25,44.9
2015-06-26,44.65
2015-06-29,44.35
2015-06-30,44.8
2015-07-02,44.9
2015-07-03,45.0
2015-07-06,44.65
2015-07-07,44.75
2015-07-08,44.5
2015-07-09,44.65
2015-07-10,44.75
2015-07-13,45.6
2015-07-14,45.9
2015-07-15,45.65
2015-07-16,45.5
2015-07-17,45.1
2015-07-20,44.65
2015-07-21,44.5
2015-07-22,43.75
2015-07-23,43.5
2015-07-24,43.1
2015-07-27,42.25
2015-07-28,41.75
2015-07-29,41.75
2015-07-31,42.25
2015-08-03,42.0
2015-08-04,41.6
2015-08-05,40.15
2015-08-06,39.8
2015-08-07,39.8
2015-08-10,39.65
2015-08-11,39.9
2015-08-13,39.9
2015-08-14,40.4
2015-08-17,40.5
2015-08-18,37.9
2015-08-19,38.9
2015-08-20,39.85
2015-08-21,39.5
2015-08-24,38.4
2015-08-25,39.0
2015-08-26,38.75
2015-08-27,39.25
2015-08-28,40.2
2015-08-31,40.6
2015-09-01,40.15
2015-09-02,39.75
2015-09-03,40.25
2015-09-04,40.0
2015-09-07,39.9
2015-09-08,39.8
2015-09-09,40.2
2015-09-10,39.75
2015-09-11,39.3
2015-09-14,38.65
2015-09-15,38.65
2015-09-16,39.4
